LAST,FIRST,ID,DEBUT,name,hof_fnd,position
Bender,Chief,bendc101,4/20/1903,Chief Bender,64,P
Blyleven,Bert,blylb001,6/5/1970,Bert Blyleven,294,P
Brown,Mordecai,browm102,4/19/1903,Mordecai Brown,56,P
Brown,Ray,browr101,9/29/1909,Ray Brown,261,P
Bunning,Jim,bunnj101,7/20/1955,Jim Bunning,225,P
Carlton,Steve,carls001,4/12/1965,Steve Carlton,217,P
Chesbro,Jack,chesj101,07/12/1899,Jack Chesbro,41,P
Clarkson,John,clarj102,05/02/1882,John Clarkson,91,P
Coveleski,Stan,coves101,9/10/1912,Stan Coveleski,112,P
Dean,Dizzy,deand102,9/28/1930,Dizzy Dean,66,P
Drysdale,Don,drysd101,4/17/1956,Don Drysdale,186,P
Eckersley,Dennis,ecked001,4/12/1975,Dennis Eckersley,257,P
Faber,Red,faber101,4/17/1914,Red Faber,96,P
Feller,Bob,fellb101,7/19/1936,Bob Feller,87,P
Fingers,Rollie,fingr001,9/15/1968,Rollie Fingers,212,P
Ford,Whitey,fordw101,7/1/1950,Whitey Ford,144,P
Galvin,Pud,galvj103,05/22/1875,Pud Galvin,102,P
Gibson,Bob,gibsb101,4/15/1959,Bob Gibson,175,P
Gibson,Bob,gibsb001,4/13/1983,Bob Gibson,175,P
Glavine,Tom,glavt001,8/17/1987,Tom Glavine,302,P
Gomez,Lefty,gomel102,4/29/1930,Lefty Gomez,129,P
Gossage,Rich,gossr001,4/16/1972,Rich Gossage,282,P
Grimes,Burleigh,grimb101,9/10/1916,Burleigh Grimes,97,P
Grove,Lefty,grovl101,4/14/1925,Lefty Grove,52,P
Haines,Jesse,hainj101,7/20/1918,Jesse Haines,118,P
Hoyt,Waite,hoytw101,7/24/1918,Waite Hoyt,113,P
Hubbell,Carl,hubbc101,7/26/1928,Carl Hubbell,53,P
Hunter,Catfish,huntj101,5/13/1965,Catfish Hunter,198,P
Johnson,Randy,johnr101,7/5/1980,Randy Johnson,308,P
Johnson,Randy,johnr001,4/27/1982,Randy Johnson,308,P
Johnson,Randy,johnr005,9/15/1988,Randy Johnson,308,P
Johnson,Walter,johnw102,8/2/1907,Walter Johnson,2,P
Joss,Addie,jossa101,4/26/1902,Addie Joss,164,P
Keefe,Tim,keeft101,08/06/1880,Tim Keefe,99,P
Koufax,Sandy,koufs101,6/24/1955,Sandy Koufax,131,P
Lemon,Bob,lemob101,9/9/1941,Bob Lemon,155,P
Lyons,Ted,lyont102,7/2/1923,Ted Lyons,77,P
Maddux,Greg,maddg002,9/3/1986,Greg Maddux,304,P
Marichal,Juan,marij101,7/19/1960,Juan Marichal,183,P
Marquard,Rube,marqr102,9/25/1908,Rube Marquard,124,P
Martinez,Pedro,martp001,9/24/1992,Pedro Martinez,309,P
Martinez,Pedro,martp002,6/29/1993,Pedro Martinez,309,P
Mathewson,Christy,mathc102,7/17/1900,Christy Mathewson,3,P
McGinnity,Joe,mcgij101,04/18/1899,Joe McGinnity,45,P
Newhouser,Hal,newhh101,9/29/1939,Hal Newhouser,214,P
Nichols,Kid,nichk101,04/23/1890,Kid Nichols,58,P
Niekro,Phil,niekp001,4/15/1964,Phil Niekro,231,P
Paige,Satchel,paigs101,7/9/1948,Satchel Paige,125,P
Palmer,Jim,palmj001,4/17/1965,Jim Palmer,206,P
Pennock,Herb,pennh101,5/14/1912,Herb Pennock,54,P
Perry,Gaylord,perrg101,4/14/1962,Gaylord Perry,210,P
Plank,Eddie,plane101,5/13/1901,Eddie Plank,46,P
Rixey,Eppa,rixee101,6/21/1912,Eppa Rixey,94,P
Roberts,Robin,rober102,6/18/1948,Robin Roberts,157,P
Ruffing,Red,ruffr101,5/31/1924,Red Ruffing,106,P
Rusie,Amos,rusia101,05/09/1889,Amos Rusie,162,P
Ryan,Nolan,ryann001,9/11/1966,Nolan Ryan,241,P
Seaver,Tom,seavt001,4/13/1967,Tom Seaver,215,P
Smoltz,John,smolj001,7/23/1988,John Smoltz,310,P
Spahn,Warren,spahw101,4/19/1942,Warren Spahn,139,P
Sutter,Bruce,suttb001,5/9/1976,Bruce Sutter,272,P
Sutton,Don,suttd001,4/14/1966,Don Sutton,237,P
Vance,Dazzy,vancd101,4/16/1915,Dazzy Vance,79,P
Waddell,Rube,waddr101,09/08/1897,Rube Waddell,48,P
Walsh,Ed,walse101,5/7/1904,Ed Walsh,49,P
Walsh,Ed,walse102,7/4/1928,Ed Walsh,49,P
Welch,Mickey,welcm102,05/01/1880,Mickey Welch,140,P
Wilhelm,Hoyt,wilhh101,4/18/1952,Hoyt Wilhelm,193,P
Willis,Vic,willv101,04/20/1898,Vic Willis,224,P
Wynn,Early,wynne101,9/13/1939,Early Wynn,133,P
Young,Cy,younc102,08/06/1890,Cy Young,13,P
